Position,Location,Salary,Gender,Education,Experience (Years),Job_skills,,,Positions,Salary,Experience,Locations
Senior Data Engineer,New Delhi,2476813,Male,BCA,8,"['sql', 'azure', 'oracle', 'excel']",,,,,,
Data Scientist,Kolkata,833057,Female,B.Com,8,,,,,,,
Data Engineer,Pune,1970834,Male,B.Com,11,"['sql', 'python', 'r', 'java', 'sql server', 'azure', 'aws', 'alteryx', 'ssis', 'tableau']",,,,,,
Data Engineer,Kolkata,1332952,Female,B.Tech/B.E.,9,"['swift', 'java', 'sql', 'nosql', 'cassandra', 'kafka', 'gdpr', 'express', 'flow']",,,,,,
Data Engineer,New Delhi,1675448,Female,B.Tech/B.E.,12,"['python', 'sql', 'go', 'jira']",,,,,,
Senior Data Engineer,New Delhi,592503,Female,B.Com,18,"['databricks', 'snowflake', 'aws', 'airflow', 'tableau', 'git']",,,,,,
Software Engineer,New Delhi,878357,Male,B.B.A/ B.M.S,15,"['python', 'golang', 'shell', 'java', 'javascript', 'html', 'css', 'sql', 'mongo', 'elasticsearch', 'sql server', 'neo4j', 'snowflake', 'oracle', 'aws', 'gcp', 'azure', 'kafka', 'angular', 'jquery', 'linux', 'github', 'jenkins', 'ansible']",,,,,,
Data Engineer,New Delhi,2488793,Male,BCA,20,"['python', 'sql', 'postgresql', 'aws', 'pandas', 'flow', 'docker', 'git', 'terraform']",,,,,,
Data Engineer,Pune,2093180,Male,B.Tech/B.E.,10,"['python', 'sql', 'go', 'jira']",,,,,,
Data Scientist,Noida,1700850,Male,BCA,20,"['sql', 'sas', 'sas', 'python', 'r']",,,,,,
Data Scientist,Kolkata,1054688,Female,B.B.A/ B.M.S,14,,,,,,,
Data Engineer,Jaipur,705349,Male,B.Tech/B.E.,19,"['sql', 'visual basic', 'python', 'aurora', 'snowflake', 'power bi']",,,,,,
Senior Data Analyst,Kolkata,812660,Male,B.Tech/B.E.,6,"['sql', 'snowflake', 'aws', 'microstrategy', 'tableau', 'excel']",,,,,,
Data Engineer,Indore,1542337,Male,B.Com,5,"['python', 'sql', 'airflow']",,,,,,
Data Analyst,Bengaluru,1201635,Male,B.Sc,25,"['sql', 'power bi', 'excel']",,,,,,
Data Scientist,Hyderabad,889504,Female,B.Com,17,"['sql', 'python', 'r', 'azure', 'git']",,,,,,
Data Analyst,Mumbai,1510153,Female,B.Com,21,"['sql', 'python', 'excel']",,,,,,
Senior Data Scientist,Noida,2102215,Female,B.Tech/B.E.,11,"['python', 'java', 'r', 'matlab', 'sql', 'databricks', 'spark', 'pyspark', 'scikit-learn', 'qlik']",,,,,,
Data Engineer,Bilaspur,1221662,Male,BCA,12,"['nosql', 'sql', 'javascript', 'python', 'bigquery', 'gcp', 'hadoop', 'spark']",,,,,,
Senior Data Engineer,New Delhi,2138369,Male,B.Tech/B.E.,18,"['sql', 'python', 'scala', 'java', 'nosql', 'aws', 'pyspark', 'kafka', 'airflow']",,,,,,
Senior Data Engineer,Pune,789599,Male,B.Tech/B.E.,14,"['sql', 'linux']",,,,,,
Data Scientist,New Delhi,798944,Female,B.Tech/B.E.,14,"['sql', 'python']",,,,,,
Data Engineer,Noida,1760559,Female,B.Com,16,"['go', 'python', 'aws', 'node.js', 'flow']",,,,,,
Data Scientist,Pune,2292185,Male,B.Tech/B.E.,7,,,,,,,
Senior Data Scientist,Hyderabad,1700968,Male,B.Tech/B.E.,6,"['python', 'r', 'sql', 'aws', 'snowflake']",,,,,,
Software Engineer,Mumbai,1718251,Male,B.Com,17,"['python', 'sql', 'java', 'sas', 'sas', 'postgresql', 'aws', 'oracle', 'aurora', 'redshift', 'pyspark', 'spring', 'angular', 'jenkins', 'bitbucket']",,,,,,
Senior Data Engineer,Kolkata,817399,Male,B.Com,11,"['sql', 'sql server', 'azure', 'databricks', 'pyspark', 'ssis']",,,,,,
Data Engineer,Navi Mumbai,1063601,Male,B.Tech/B.E.,21,"['python', 'sql', 'aws']",,,,,,
Data Engineer,New Delhi,987656,Male,BCA,16,['sql'],,,,,,
Data Scientist,Guwahati,1896642,Male,B.Tech/B.E.,11,"['pytorch', 'tensorflow']",,,,,,
Senior Data Engineer,Bengaluru,1164233,Male,B.B.A/ B.M.S,20,"['scala', 'nosql', 'python', 'sql', 'java', 'mongo', 'shell', 'mysql', 'cassandra', 'aws', 'azure', 'redshift', 'snowflake', 'hadoop', 'spark', 'kafka', 'angular']",,,,,,
Data Engineer,Bengaluru,1963577,Female,B.Com,6,"['sql', 'azure', 'tableau']",,,,,,
Data Engineer,Chennai,1171848,Male,B.Sc,17,"['python', 'scala', 'sql', 'java', 'nosql', 'mongo', 'shell', 'mysql', 'cassandra', 'aws', 'azure', 'redshift', 'snowflake', 'spark', 'hadoop', 'kafka']",,,,,,
Data Analyst,New Delhi,642646,Male,B.Tech/B.E.,8,"['word', 'excel', 'powerpoint']",,,,,,
Data Engineer,Bengaluru,1142195,Female,BCA,7,['azure'],,,,,,
Data Engineer,Gurugram,2410384,Male,NA,28,"['db2', 'power bi']",,,,,,
Data Engineer,New Delhi,978520,Male,B.Tech/B.E.,26,"['python', 'sql', 'powershell', 'bash', 'azure', 'databricks', 'pandas', 'github']",,,,,,
Data Scientist,Kolkata,1600494,Female,B.B.A/ B.M.S,12,"['python', 'r', 'sql', 'aws', 'pandas', 'numpy', 'tidyverse', 'matplotlib', 'ggplot2']",,,,,,
Data Scientist,Pune,2415630,Female,B.Tech/B.E.,21,"['python', 'sql', 'r', 'bigquery', 'flow']",,,,,,
Senior Data Engineer,New Delhi,1458717,Male,B.Tech/B.E.,21,"['java', 'scala', 'python', 'nosql', 'sql', 'mongo', 'shell', 'mysql', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'hadoop', 'kafka', 'spark']",,,,,,
Senior Data Scientist,New Delhi,1615136,Male,B.Sc,16,"['sql', 'r', 'python', 'scala', 'java', 'c++', 'sas', 'sas', 'aws', 'spark', 'ggplot2', 'pandas', 'numpy', 'scikit-learn', 'tableau']",,,,,,
Data Engineer,New Delhi,2297058,Male,BCA,23,"['python', 'sql', 'azure', 'databricks', 'spark', 'power bi']",,,,,,
Data Engineer,Nagpur,2213745,Male,B.A,15,"['sql', 'go', 'git']",,,,,,
Data Analyst,Noida,878001,Female,B.Tech/B.E.,19,"['sql', 'power bi', 'dax']",,,,,,
Business Analyst,Mumbai,2056298,Male,B.Sc,21,"['sql', 'sas', 'sas', 'sql server', 'word', 'excel', 'webex']",,,,,,
Data Scientist,New Delhi,2029739,Male,B.Tech/B.E.,23,,,,,,,
Data Analyst,Tiruchirapalli,1364119,Male,B.Tech/B.E.,18,"['sql', 'oracle', 'excel', 'tableau']",,,,,,
Data Scientist,Mumbai,2026301,Female,BCA,21,"['c#', 'c++', 'python', 'hadoop', 'pandas', 'jupyter', 'windows', 'tableau', 'excel']",,,,,,
Data Engineer,New Delhi,1395454,Male,B.Sc,15,"['python', 'sql', 'aws', 'databricks', 'tableau']",,,,,,
Senior Data Scientist,Pune,678908,Male,B.Tech/B.E.,22,"['python', 'r', 'scala', 'tensorflow', 'pytorch']",,,,,,
Data Engineer,Bengaluru,1398537,Female,BCA,16,"['python', 'sql', 'java', 'mongodb', 'mongodb', 'javascript', 'postgresql', 'mysql', 'oracle', 'hadoop', 'spark', 'docker', 'kubernetes', 'git']",,,,,,
Data Scientist,Pune,1750099,Male,NA,13,"['python', 'r', 'java', 'nosql', 'mongo', 'neo4j', 'cassandra', 'databricks', 'azure', 'aws', 'hadoop', 'pyspark', 'spark', 'kafka', 'airflow', 'tableau', 'yarn', 'git', 'bitbucket', 'jenkins']",,,,,,
Senior Data Engineer,Pune,2037476,Male,B.Tech/B.E.,11,"['sql', 'java', 'scala', 'python', 'aws', 'spark', 'hadoop', 'kafka', 'airflow']",,,,,,
Senior Data Scientist,Noida,1244762,Female,B.Com,14,"['python', 'sql', 'aws']",,,,,,
Senior Data Scientist,Bengaluru,1379013,Male,B.Tech/B.E.,12,"['python', 'sql']",,,,,,
Data Scientist,Noida,874206,Male,B.Tech/B.E.,23,"['python', 'r', 'scala', 'tensorflow', 'pytorch', 'scikit-learn', 'pandas', 'numpy']",,,,,,
Data Scientist,Dindigul,1725883,Male,B.Com,23,['oracle'],,,,,,
Data Engineer,Noida,1854774,Male,B.Sc,7,"['sql', 'azure', 'tableau']",,,,,,
Data Scientist,Mumbai,908939,Male,B.Sc,18,,,,,,,
Senior Data Scientist,Bengaluru,859328,Female,B.Tech/B.E.,6,"['python', 'java', 'r', 'matlab', 'sql', 'databricks', 'spark', 'pyspark', 'scikit-learn', 'qlik']",,,,,,
Data Engineer,Siliguri,2302344,Male,Diploma,19,"['sql', 'sql server', 'aws']",,,,,,
Software Engineer,Kolkata,1325828,Male,BCA,24,"['sql', 'power bi', 'excel']",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
